epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5511,2.1854,5.84173,3.86402,2.21274,0,0.01425,0.19444,0.03601,0.02801,0.0202,0.22222,0.03992,0.02848,1.58023,2.7324,3.85493,1.91543,0,0.000213611,0.000213611,0.000213611
2,40.2181,1.79593,3.60634,3.59669,1.87982,0,0.01155,0.34722,0.32759,0.23708,0.01205,0.36111,0.32802,0.23978,1.88524,1.01611,4.00183,1.8154,0,0.00042342,0.00042342,0.00042342
3,60.8516,1.48616,2.81338,3.21723,1.60477,0,0.01155,0.34722,0.32759,0.23708,0.01205,0.36111,0.32802,0.23978,1.88524,1.01611,4.00183,1.8154,0,0.000582475,0.000582475,0.000582475
4,80.3081,1.32671,2.55948,2.93106,1.43562,0,0.01498,0.47222,0.34477,0.27755,0.01551,0.48611,0.34799,0.27725,1.45039,1.29436,3.84361,1.67034,0,0.000540607,0.000540607,0.000540607
5,100.783,1.25302,2.36844,2.61289,1.33857,0,0.02187,0.58333,0.41108,0.29935,0.02339,0.63889,0.42909,0.30884,1.36071,0.87923,3.57311,1.34264,0,0.000464476,0.000464476,0.000464476
6,120.761,1.10821,2.05623,2.31695,1.21476,0,0.02674,0.63889,0.46562,0.37759,0.02951,0.73611,0.47657,0.3875,1.26639,0.92009,3.26269,1.18264,0,0.000388345,0.000388345,0.000388345
7,140.327,1.00959,1.69462,1.84795,1.15562,0,0.02674,0.63889,0.46562,0.37759,0.02951,0.73611,0.47657,0.3875,1.26639,0.92009,3.26269,1.18264,0,0.000312214,0.000312214,0.000312214
8,161.541,0.9837,1.65704,1.67127,1.12864,0,0.03205,0.70833,0.49296,0.38153,0.03493,0.80556,0.50887,0.41189,1.26568,0.83287,3.11163,1.19391,0,0.000236083,0.000236083,0.000236083
9,180.925,0.99284,1.57399,1.49552,1.11152,0,0.99638,0.29031,0.66758,0.47267,0.99607,0.29719,0.68156,0.53579,1.29663,0.72346,2.95916,1.21351,0,0.000159952,0.000159952,0.000159952
10,200.395,0.87994,1.49538,1.34242,1.09257,0,0.99339,0.4187,0.89242,0.57513,0.99339,0.4187,0.89829,0.66066,1.29225,0.65842,2.77153,1.18818,0,8.3821e-05,8.3821e-05,8.3821e-05
